ID Cliente;Churn;Genero;Cidadao Idoso; Possui Parceiro(a);Dependentes;Tempo Permanencia;Servico Telefone;Multiplas linhas;Servico Internet;Seguranca Online;Backup Online;Protecao Dispositivo;Suporte Tecnico;Streaming TV;Streaming Filmes;Contrato;Fatura Online;Metodo Pagamento;Gasto Diario;Gasto Mensal;Gasto Total
0002-ORFBO;Nao;Feminino;Nao;Sim;Sim;9;Sim;Nao;DSL;Nao;Sim;Nao;Sim;Sim;Nao;Um ano;Sim;Cheque;2.19;65.6;593.3
0003-MKNFE;Nao;Masculino;Nao;Nao;Nao;9;Sim;Sim;DSL;Nao;Nao;Nao;Nao;Nao;Sim;Mensal;Nao;Cheque;2.0;59.9;542.4
0004-TLHLJ;Sim;Masculino;Nao;Nao;Nao;4;Sim;Nao;Fibra otica;Nao;Nao;Sim;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;2.46;73.9;280.85
0011-IGKFF;Sim;Masculino;Sim;Sim;Nao;13;Sim;Nao;Fibra otica;Nao;Sim;Sim;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.27;98.0;1237.85
0013-EXCHZ;Sim;Feminino;Sim;Sim;Nao;3;Sim;Nao;Fibra otica;Nao;Nao;Nao;Sim;Sim;Nao;Mensal;Sim;Cheque;2.8;83.9;267.4
0013-MHZWF;Nao;Feminino;Nao;Nao;Sim;9;Sim;Nao;DSL;Nao;Nao;Nao;Sim;Sim;Sim;Mensal;Sim;Cartao de credito (automatico);2.31;69.4;571.45
0013-SMEOE;Nao;Feminino;Sim;Sim;Nao;71;Sim;Nao;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Transferencia bancaria;3.66;109.7;7904.25
0014-BMAQU;Nao;Masculino;Nao;Sim;Nao;63;Sim;Sim;Fibra otica;Sim;Nao;Nao;Sim;Nao;Nao;Dois anos;Sim;Cartao de credito (automatico);2.82;84.65;5377.8
0015-UOCOJ;Nao;Feminino;Sim;Nao;Nao;7;Sim;Nao;DSL;Sim;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;1.61;48.2;340.35
0016-QLJIS;Nao;Feminino;Nao;Sim;Sim;65;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cheque;3.02;90.45;5957.9
